player_name,player_id,timeframe,aLevel,Age,TeamName,error
Austin Slater,sa602692,last_7,AAA,32,CHW (AAA),Total row not found (advanced) | Total row not found (standard)
J.D. Davis,sa597900,last_7,AAA,32,LAA (AAA),Total row not found (advanced) | Total row not found (standard)
J.D. Davis,sa597900,last_15,AAA,32,LAA (AAA),Total row not found (advanced) | Total row not found (standard)
Nick Gordon,sa828662,last_15,AAA,29,- - -,Total row not found (advanced) | Total row not found (standard)
Nick Gordon,sa828662,last_45,AAA,29,- - -,Total row not found (advanced) | Total row not found (standard)
Nick Gordon,sa828662,last_7,AAA,29,- - -,Total row not found (advanced) | Total row not found (standard)
Nick Gordon,sa828662,last_30,AAA,29,- - -,Total row not found (advanced) | Total row not found (standard)
Thairo Estrada,sa739620,last_7,AAA,29,COL (AAA),Total row not found (advanced) | Total row not found (standard)
Thairo Estrada,sa739620,last_45,AAA,29,COL (AAA),Total row not found (advanced) | Total row not found (standard)
Thairo Estrada,sa739620,last_30,AAA,29,COL (AAA),Total row not found (advanced) | Total row not found (standard)
Christian Arroyo,sa737529,last_15,AAA,30,PHI (AAA),Total row not found (advanced) | Total row not found (standard)
Christian Arroyo,sa737529,last_30,AAA,30,PHI (AAA),Total row not found (advanced) | Total row not found (standard)
Jacob Nottingham,sa737809,last_15,AAA,30,SEA (AAA),Total row not found (advanced) | Total row not found (standard)
Jacob Nottingham,sa737809,last_7,AAA,30,SEA (AAA),Total row not found (advanced) | Total row not found (standard)
Christian Arroyo,sa737529,last_45,AAA,30,PHI (AAA),Total row not found (advanced) | Total row not found (standard)
Christian Arroyo,sa737529,last_7,AAA,30,PHI (AAA),Total row not found (advanced) | Total row not found (standard)
Thairo Estrada,sa739620,last_15,AAA,29,COL (AAA),Total row not found (advanced) | Total row not found (standard)
Connor Joe,sa827153,last_15,AAA,32,- - -,Total row not found (advanced) | Total row not found (standard)
Connor Joe,sa827153,last_7,AAA,32,- - -,Total row not found (advanced) | Total row not found (standard)
Brian O'Keefe,sa829152,last_30,AAA,31,KCR (AAA),Total row not found (advanced) | Total row not found (standard)
Brian O'Keefe,sa829152,last_15,AAA,31,KCR (AAA),Total row not found (advanced) | Total row not found (standard)
Brian O'Keefe,sa829152,last_7,AAA,31,KCR (AAA),Total row not found (advanced) | Total row not found (standard)
