Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wRC,wRAA,wOBA,wRC+,wBsR,GB%,LD%,FB%,IFFB%,HR/FB,GB/FB,Oppo%,Pull%,Cent%,Balls,Strikes,Pitches,SwStr%,Age,MaxAge,Season,PlayerName,TeamName,AffId,AffAbbName,aLevel,playerids,minormasterid
"<a href=""statss.aspx?playerid=sa3067396&position=2B/3B"">Dayson Croes</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=144&players=0"">Giants (A+)</a>",26.0,98.0,115.0,34.0,19.0,13.0,1.0,1.0,17.0,21.0,14.0,0.0,15.0,2.0,0.0,1.0,1.0,0.0,0.0,0.346938775,0.12173913,0.130434782,0.933333333,0.438596491,0.530612244,0.969208735,0.183673469,3.14551670875,0.402439024,24.186952890183044,9.388436929608895,0.44191341023696096,165.1075432701754,-0.29186392202973366,0.469135802,0.24691358,0.283950617,0.086956521,0.04347826,1.652173913,0.5,0.25,0.25,165.0,254.0,419.0,0.05727924,25,25,2025,Dayson Croes,SFG (A+),30.0,SFG,A+,sa3067396,sa3067396
"<a href=""statss.aspx?playerid=sa3067478&position=C/1B"">Luke Napleton</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=59&players=0"">Twins (A+)</a>",6.0,13.0,17.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.235294117,0.529411764,0.444444444,0.235294117,0.0,0.235294117,0.0,2.64285714,0.0,-0.05164024416828669,-2.1852923798980766,0.17737080069149241,-1.1639061675795959,-0.041952405124902725,0.25,0.0,0.75,0.333333333,0.0,0.333333333,1.0,0.0,0.0,36.0,48.0,84.0,0.14285714,23,23,2025,Luke Napleton,MIN (A+),8.0,MIN,A+,sa3067478,sa3067478
"<a href=""statss.aspx?playerid=sa3068818&position=SS"">John Taylor</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=164&players=0"">Rangers (A+)</a>",8.0,25.0,26.0,10.0,8.0,2.0,0.0,0.0,5.0,4.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,1.0,0.4,0.038461538,0.269230769,0.142857142,0.423076923,0.48,0.903076923,0.08,5.501890479646278,0.555555555,5.077800682045274,1.9357228486311966,0.42108636177503145,161.74932867598812,-0.15658643934875727,0.611111111,0.277777777,0.111111111,0.5,0.0,5.5,0.27777778,0.33333333,0.38888889,39.0,75.0,114.0,0.05263158,24,24,2025,John Taylor,TEX (A+),13.0,TEX,A+,sa3068818,sa3068818
"<a href=""statss.aspx?playerid=sa969045&position=3B"">Kevin Maitan</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=59&players=0"">Twins (A+)</a>",23.0,77.0,86.0,16.0,9.0,6.0,1.0,0.0,10.0,8.0,6.0,0.0,30.0,2.0,1.0,0.0,6.0,0.0,0.0,0.207792207,0.069767441,0.348837209,0.2,0.279069767,0.311688311,0.590758078,0.103896104,4.6087662275,0.333333333,6.865738733031789,-3.9280308947777356,0.2829779220181842,64.9331871960361,-0.17829772178083658,0.468085106,0.212765957,0.319148936,0.066666666,0.0,1.466666666,0.20833333,0.52083333,0.27083333,111.0,250.0,361.0,0.15512465,25,25,2025,Kevin Maitan,MIN (A+),8.0,MIN,A+,sa969045,sa969045
"<a href=""statss.aspx?playerid=15362&position=2B/3B"">Jeff McNeil</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=104&players=0"">Mets (A)</a>",4.0,11.0,14.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.272727272,0.214285714,0.142857142,1.5,0.428571428,0.272727272,0.7012987,0.0,1.60119047125,0.333333333,2.1332661187374238,0.36063605305787383,0.36842338953699383,116.47751303539779,-0.07750178687274456,0.333333333,0.333333333,0.333333333,0.666666666,0.0,1.0,0.11111111,0.66666667,0.22222222,16.0,22.0,38.0,0.07894737,33,33,2025,Jeff McNeil,NYM (A),25.0,NYM,A,15362,sa709024
"<a href=""statss.aspx?playerid=17232&position=2B/3B"">Yoán Moncada</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=51&players=0"">Angels (A)</a>",2.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,2.0,0.5,0.0,0.5,0.0,0.14285714,0.0,1.6863372530297216,0.3491028751686987,0.3899927318096161,125.94705222518584,-0.05120870191603899,0.333333333,0.0,0.666666666,1.0,0.0,0.5,1.0,0.0,0.0,25.0,29.0,54.0,0.09259259,30,30,2025,Yoán Moncada,LAA (A),1.0,LAA,A,17232,sa864590
"<a href=""statss.aspx?playerid=19358&position=3B"">Weston Wilson</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=139&players=0"">Phillies (A)</a>",4.0,10.0,14.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.285714285,0.214285714,1.333333333,0.357142857,0.1,0.457142857,0.0,6.59719141249985,0.142857142,1.2422314996919404,-0.5303985659876098,0.28534044112477985,66.92451881317278,0.13541518058627844,0.285714285,0.142857142,0.571428571,0.5,0.0,0.5,0.57142857,0.28571429,0.14285714,32.0,34.0,66.0,0.03030303,30,30,2025,Weston Wilson,PHI (A),26.0,PHI,A,19358,sa873690
"<a href=""statss.aspx?playerid=19422&position=C"">Brian Serven</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=119&players=0"">Tigers (A)</a>",7.0,23.0,27.0,5.0,2.0,3.0,0.0,0.0,3.0,4.0,3.0,0.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.217391304,0.111111111,0.407407407,0.272727272,0.333333333,0.347826086,0.681159419,0.130434782,1.86160714,0.416666666,3.4232814860468705,0.0046377879505951364,0.3350207474496629,100.95751503636914,-0.07750178687274456,0.166666666,0.416666666,0.416666666,0.0,0.0,0.4,0.08333333,0.5,0.41666667,41.0,70.0,111.0,0.16216216,30,30,2025,Brian Serven,DET (A),6.0,DET,A,19422,sa857231
"<a href=""statss.aspx?playerid=19950&position=SS"">Andrés Giménez</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=98&players=0"">Blue Jays (A)</a>",4.0,12.0,15.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.166666666,0.133333333,0.066666666,2.0,0.266666666,0.25,0.516666666,0.083333334,0.14285714,0.166666666,0.9863439260721775,-0.9129025728701976,0.255349330107371,52.79895265690631,-0.03875089343637228,0.166666666,0.166666666,0.666666666,0.375,0.0,0.25,0.25,0.33333333,0.41666667,21.0,39.0,60.0,0.1,26,26,2025,Andrés Giménez,TOR (A),14.0,TOR,A,19950,sa917114
"<a href=""statss.aspx?playerid=20404&position=1B/OF"">Jared Young</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=104&players=0"">Mets (A)</a>",4.0,11.0,15.0,4.0,2.0,1.0,0.0,1.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.363636363,0.266666666,0.0,4.0,0.533333333,0.727272727,1.26060606,0.363636364,1.30357142125,0.3,4.540917342726873,2.6416708437844987,0.5646932522455851,235.33516964254548,-0.07750178687274456,0.272727272,0.181818181,0.545454545,0.0,0.166666666,0.5,0.18181818,0.36363636,0.45454545,25.0,34.0,59.0,0.01694915,29,29,2025,Jared Young,NYM (A),25.0,NYM,A,20404,sa3004937
