player_name,player_id,timeframe,aLevel,Age,TeamName,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+
Tucker Toman,702283,last_45,A+,22.7,Vancouver Canadians,Total,VAN,- - -,,,30,109,126,29,19,5,0,5,21,16,15,0,32,2,0,0,1,4,0,.266,11.9%,25.4%,.469,.365,.450,.815,.183,,.333,,19.4,1.7,.369,110
Hunter Hines,702309,last_45,A,23.7,Fredericksburg Nationals,Total,FBG,- - -,,,26,91,107,22,12,2,2,6,13,18,13,0,22,1,2,0,1,0,1,.242,12.1%,20.6%,.591,.336,.505,.842,.264,,.246,,17.2,2.2,.369,114
Noah Mendlinger,702331,last_45,AAA,26.0,Memphis Redbirds,Total,MEM,- - -,,,24,67,80,20,16,3,1,0,5,8,8,0,13,3,1,1,0,0,1,.299,10.0%,16.2%,.615,.392,.373,.766,.075,,.364,,11.2,0.3,.354,102
Trey Lipscomb,702358,last_45,AAA,26.1,Rochester Red Wings,Total,ROC,- - -,,,35,133,145,44,31,7,0,6,23,24,11,0,35,0,1,0,4,5,1,.331,7.6%,24.1%,.314,.379,.519,.898,.188,,.409,,25.2,5.4,.398,128
Jorge Ruiz,702409,last_45,A+,22.1,Tri-City Dust Devils,Total,TRI,- - -,,,34,140,159,40,30,7,1,2,17,16,11,0,17,2,2,4,1,6,3,.286,6.9%,10.7%,.647,.342,.393,.735,.107,,.309,,20.0,-2.3,.332,90
Jhosmmel Zue,702435,last_45,A,22.5,Columbia Fireflies,Total,COL,- - -,,,25,92,102,25,19,4,0,2,9,15,9,0,25,0,1,0,2,5,2,.272,8.8%,24.5%,.360,.333,.380,.714,.109,,.348,,12.9,-1.4,.324,90
Eric Martinez,702444,last_45,ACL,22.2,ACL Brewers,Total,A-BRW,- - -,,,2,5,7,1,0,0,0,1,1,6,0,0,3,2,0,0,0,0,0,.200,0.0%,42.9%,.000,.429,.800,1.229,.600,,.000,,2.0,0.8,.514,166
Aaron McKeithan,702463,last_45,AA,26.6,Arkansas Travelers,Total,ARK,- - -,,,11,37,48,10,10,0,0,0,4,2,8,0,8,3,0,0,2,1,1,.270,16.7%,16.7%,1.000,.438,.270,.708,.000,,.345,,6.9,0.2,.355,103
Jaxson West,702486,last_45,A+,23.0,Vancouver Canadians,Total,VAN,- - -,,,15,51,64,15,13,2,0,0,11,5,9,0,6,3,1,0,0,2,1,.294,14.1%,9.4%,1.500,.422,.333,.755,.039,,.326,,10.1,0.3,.360,103
Logan Wagner,702488,last_45,ACL,22.3,ACL Dodgers,Total,A-DOD,- - -,,,28,116,126,26,10,8,0,8,22,23,9,0,37,0,1,0,2,2,0,.224,7.1%,29.4%,.243,.278,.500,.778,.276,,.250,,17.4,-0.8,.339,96
Mitch Voit,702491,last_45,A+,21.8,Brooklyn Cyclones,Total,BRK,- - -,,,30,113,138,31,22,4,1,4,24,14,23,0,24,2,0,0,1,16,4,.274,16.7%,17.4%,.958,.406,.434,.839,.159,,.318,,23.6,3.9,.385,120
Josh Tate,702495,last_45,A+,22.9,Greensboro Grasshoppers,Total,GBO,- - -,,,29,105,116,27,15,9,2,1,14,13,9,0,27,0,1,1,0,5,3,.257,7.8%,23.3%,.333,.313,.410,.723,.152,,.333,,14.2,-2.6,.322,84
