player_name,player_id,timeframe,aLevel,Age,TeamName,Date,Team,Opp,GS,W,L,ERA,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP
Jake Shirk,827620,last_7,AA,24.0,Altoona Curve,Total,ALT,- - -,0,0,1,6.75,0,0,0,2.2,17,6,3,2,0,2,0,1,1,0,1,3.38,6.75,.50,.00,5.9%,11.8%,-5.9%,.429,3.00,,,6.50
Nate Payne,827626,last_7,A+,20.8,Beloit Sky Carp,Total,BEL,- - -,1,0,0,1.12,0,0,0,5.1,25,10,6,6,3,0,0,0,1,0,4,6.75,.00,,5.06,16.0%,0.0%,16.0%,.400,1.88,,,9.81
Lucas Elissalt,827640,last_7,A+,21.9,West Michigan Whitecaps,Total,WM,- - -,1,0,1,3.60,0,0,0,5.0,20,4,2,2,2,2,0,1,0,0,6,1.80,3.60,3.00,3.60,30.0%,10.0%,20.0%,.235,1.20,,,8.60
Luis Aguayo,827653,last_7,DSL,18.5,DSL Brewers Blue,Total,D-BWB,- - -,1,0,0,.00,0,0,0,1.0,3,0,0,0,0,1,0,0,0,0,1,9.00,9.00,1.00,.00,33.3%,33.3%,0.0%,.000,1.00,,,5.70
Silvano Hechavarria,827664,last_7,A,23.2,Dunedin Blue Jays,Total,DUN,- - -,1,0,1,12.00,0,0,0,3.0,16,4,4,4,0,3,0,0,0,1,2,6.00,9.00,.67,.00,12.5%,18.8%,-6.2%,.308,2.33,,,5.16
Luis Gomez,827688,last_7,FCL,21.3,FCL Marlins,Total,F-MRL,- - -,0,0,0,.00,0,0,0,2.1,8,1,0,0,0,0,0,0,0,0,4,15.43,.00,,.00,50.0%,0.0%,50.0%,.125,.43,,,.50
Jefferson Lopez,827690,last_7,DSL,20.5,DSL Pirates Gold,Total,D-PIG,- - -,0,0,0,.00,0,0,0,3.0,10,1,0,0,0,1,0,0,0,0,3,9.00,3.00,3.00,.00,30.0%,10.0%,20.0%,.111,.67,,,3.70
Dariel Florentino,827693,last_7,DSL,20.6,DSL Pirates Gold,Total,D-PIG,- - -,0,0,0,4.91,0,0,1,3.2,17,3,2,2,0,4,0,0,0,1,0,.00,9.82,.00,.00,0.0%,23.5%,-23.5%,.231,1.91,,,7.98
Ryan Mathiesen,827698,last_7,A,23.0,Fayetteville Woodpeckers,Total,FAY,- - -,0,1,0,.00,0,0,0,2.0,9,0,0,0,0,3,0,0,0,0,2,9.00,13.50,.67,.00,22.2%,33.3%,-11.1%,.000,1.50,,,5.53
Efrén Álvarez,827711,last_7,DSL,18.5,DSL Cardinals,Total,D-CAR,- - -,1,0,0,4.91,0,0,0,3.2,15,4,2,2,1,3,0,0,0,0,3,7.36,7.36,1.00,2.45,20.0%,20.0%,0.0%,.333,1.91,,,9.07
Mauricio Vargas,827732,last_7,DSL,19.3,DSL NYY Bombers,Total,D-NYB,- - -,0,0,0,.00,0,0,0,2.1,7,0,0,0,0,0,0,0,0,0,4,15.43,.00,,.00,57.1%,0.0%,57.1%,.000,.00,,,1.28
Wei-En Lin,827734,last_7,AAA,20.6,Las Vegas Aviators,Total,LV,- - -,2,1,0,7.04,0,0,0,7.2,34,7,6,6,0,3,0,1,0,0,3,3.52,3.52,1.00,.00,8.8%,8.8%,0.0%,.233,1.30,,,4.11
Oswal Rodriguez,827745,last_7,ACL,21.1,ACL Royals,Total,A-ROY,- - -,0,0,0,.00,0,0,0,2.0,7,0,0,0,0,0,0,1,0,0,2,9.00,.00,,.00,28.6%,0.0%,28.6%,.000,.00,,,4.55
Henry Ramirez,827749,last_7,DSL,20.8,DSL Orioles Black,Total,D-ORB,- - -,0,0,0,.00,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,18.00,.00,,.00,66.7%,0.0%,66.7%,.000,.00,,,.70
Albieris Polanco,827999,last_7,DSL,20.4,DSL Padres Gold,Total,D-PAG,- - -,0,2,0,4.50,0,0,0,4.0,17,3,2,2,1,0,0,1,1,0,2,4.50,.00,,2.25,11.8%,0.0%,11.8%,.188,.75,,,7.70
