Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wRC,wRAA,wOBA,wRC+,wBsR,GB%,LD%,FB%,IFFB%,HR/FB,GB/FB,Oppo%,Pull%,Cent%,Balls,Strikes,Pitches,SwStr%,Age,MaxAge,Season,PlayerName,TeamName,AffId,AffAbbName,aLevel,playerids,minormasterid
"<a href=""statss.aspx?playerid=25855&position=OF"">Matt Gorski</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=12&players=0"">Pirates (AAA)</a>",22.0,79.0,88.0,22.0,11.0,7.0,0.0,4.0,14.0,15.0,6.0,0.0,23.0,0.0,3.0,0.0,2.0,2.0,0.0,0.278481012,0.068181818,0.261363636,0.260869565,0.318181818,0.518987341,0.837169159,0.240506329,5.234993559403867,0.327272727,12.98423010822643,1.414521760905875,0.35861157287250867,113.47418833025986,0.2629977874457836,0.264150943,0.339622641,0.396226415,0.142857142,0.19047619,0.666666666,0.28301887,0.49056604,0.22641509,94.0,203.0,297.0,0.17845118,27,27,2025,Matt Gorski,PIT (AAA),27.0,PIT,AAA,25855,sa3010399
"<a href=""statss.aspx?playerid=25867&position=SS"">Ryan Kreidler</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=6&players=0"">Tigers (AAA)</a>",45.0,148.0,179.0,34.0,16.0,12.0,3.0,3.0,27.0,18.0,25.0,0.0,55.0,3.0,2.0,1.0,3.0,8.0,5.0,0.229729729,0.139664804,0.307262569,0.454545454,0.348314606,0.412162162,0.760476768,0.182432433,7.512257754162585,0.336956521,24.578105113232283,1.0442665431143334,0.34639051121272396,108.6009867833968,-1.058448925614357,0.322580645,0.301075268,0.376344086,0.142857142,0.085714285,0.857142857,0.26041667,0.4375,0.30208333,298.0,442.0,740.0,0.15135135,27,27,2025,Ryan Kreidler,DET (AAA),6.0,DET,AAA,25867,sa3010587
"<a href=""statss.aspx?playerid=25967&position=2B/3B/SS"">Orelvis Martinez</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=5&players=0"">Blue Jays (AAA)</a>",62.0,215.0,246.0,41.0,21.0,10.0,1.0,9.0,23.0,24.0,25.0,0.0,71.0,3.0,2.0,0.0,9.0,1.0,0.0,0.190697674,0.101626016,0.288617886,0.352112676,0.281632653,0.372093023,0.653725676,0.181395349,3.3178030792275273,0.233576642,23.427943684586175,-8.914650104514468,0.29617984489518767,75.46021708634058,-0.19488874450325966,0.351724137,0.193103448,0.455172413,0.257575757,0.136363636,0.772727272,0.26896552,0.51724138,0.2137931,343.0,623.0,966.0,0.17287785,23,23,2025,Orelvis Martinez,TOR (AAA),14.0,TOR,AAA,25967,sa3010692
"<a href=""statss.aspx?playerid=25971&position=OF"">Kevin Alcántara</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=10&players=0"">Cubs (AAA)</a>",61.0,219.0,250.0,53.0,31.0,15.0,0.0,7.0,28.0,35.0,28.0,0.0,79.0,1.0,2.0,0.0,6.0,9.0,2.0,0.242009132,0.112,0.316,0.354430379,0.328,0.406392694,0.734392694,0.164383562,4.373382547911147,0.34074074,31.508657377859134,-1.3598322452106302,0.33293662786483763,89.31463771279397,0.39492079615592957,0.442857142,0.242857142,0.314285714,0.181818181,0.159090909,1.409090909,0.3943662,0.3943662,0.21126761,355.0,617.0,972.0,0.12962963,22,22,2025,Kevin Alcántara,CHC (AAA),17.0,CHC,AAA,25971,sa3008752
"<a href=""statss.aspx?playerid=25979&position=SS"">Nasim Nuñez</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=22&players=0"">Nationals (AAA)</a>",19.0,58.0,69.0,13.0,12.0,1.0,0.0,0.0,8.0,7.0,11.0,0.0,17.0,0.0,0.0,0.0,1.0,9.0,4.0,0.224137931,0.159420289,0.246376811,0.647058823,0.347826086,0.24137931,0.589205396,0.017241379,5.342976576451014,0.31707317,6.577407302238118,-2.494295833729137,0.2962862996087558,73.41936365233114,-0.22843989357352257,0.567567567,0.243243243,0.189189189,0.142857142,0.0,3.0,0.3902439,0.36585366,0.24390244,125.0,172.0,297.0,0.11111111,24,24,2025,Nasim Nuñez,WSN (AAA),24.0,WSN,AAA,25979,sa3010695
"<a href=""statss.aspx?playerid=25980&position=SS/OF"">Matthew Lugo</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=8&players=0"">Angels (AAA)</a>",46.0,193.0,212.0,40.0,23.0,11.0,1.0,5.0,27.0,20.0,16.0,0.0,63.0,3.0,0.0,0.0,3.0,2.0,2.0,0.207253886,0.075471698,0.297169811,0.253968253,0.278301886,0.352331606,0.630633492,0.14507772,4.828393694807239,0.28,16.843728146267985,-13.608387091444873,0.2856877091920601,53.985599386096474,-0.8890741104260087,0.53125,0.2421875,0.2265625,0.206896551,0.172413793,2.344827586,0.296875,0.5,0.203125,272.0,551.0,823.0,0.14580802,24,24,2025,Matthew Lugo,LAA (AAA),1.0,LAA,AAA,25980,sa1169598
"<a href=""statss.aspx?playerid=25999&position=OF"">Victor Mesa Jr.</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=2&players=0"">Marlins (AAA)</a>",11.0,37.0,42.0,11.0,5.0,3.0,1.0,2.0,8.0,7.0,4.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,0.297297297,0.095238095,0.19047619,0.5,0.357142857,0.594594594,0.951737451,0.297297297,8.010494255694711,0.321428571,7.835289092175559,2.313382835499839,0.4051633108229864,147.33225193744914,0.12746941670775414,0.2,0.3,0.5,0.266666666,0.133333333,0.4,0.33333333,0.33333333,0.33333333,55.0,101.0,156.0,0.1474359,23,23,2025,Victor Mesa Jr.,MIA (AAA),20.0,MIA,AAA,25999,sa3010700
"<a href=""statss.aspx?playerid=26031&position=2B/SS"">Vaughn Grissom</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=28&players=0"">Red Sox (AAA)</a>",64.0,248.0,281.0,67.0,44.0,17.0,0.0,6.0,46.0,26.0,25.0,0.0,55.0,6.0,2.0,0.0,6.0,8.0,2.0,0.27016129,0.088967971,0.195729537,0.454545454,0.348754448,0.411290322,0.76004477,0.141129032,5.183079983602585,0.322751322,38.62722068737427,1.6830383510438574,0.3465761731103646,104.20345692112956,0.07403648272156715,0.484536082,0.257731958,0.257731958,0.2,0.12,1.88,0.35897436,0.37948718,0.26153846,403.0,691.0,1094.0,0.10420475,24,24,2025,Vaughn Grissom,BOS (AAA),3.0,BOS,AAA,26031,sa3010711
"<a href=""statss.aspx?playerid=26106&position=C"">Maverick Handley</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=26&players=0"">Orioles (AAA)</a>",17.0,59.0,68.0,19.0,11.0,6.0,1.0,1.0,12.0,5.0,9.0,0.0,12.0,0.0,0.0,0.0,1.0,2.0,1.0,0.322033898,0.132352941,0.176470588,0.75,0.411764705,0.508474576,0.920239281,0.186440678,6.638863155986186,0.391304347,13.111650631217298,4.171421453742323,0.4126388711087844,150.417798813006,-0.22195006906986237,0.478260869,0.304347826,0.217391304,0.3,0.1,2.2,0.34782609,0.47826087,0.17391304,94.0,160.0,254.0,0.1496063,27,27,2025,Maverick Handley,BAL (AAA),2.0,BAL,AAA,26106,sa3010848
"<a href=""statss.aspx?playerid=26123&position=3B"">Brett Baty</a>","<a href=""minorleaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2025&team=27&players=0"">Mets (AAA)</a>",3.0,10.0,11.0,3.0,1.0,2.0,0.0,0.0,2.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.09090909,0.272727272,0.333333333,0.363636363,0.5,0.863636363,0.2,2.64285714,0.428571428,1.851870353099427,0.40565680968435713,0.3834395842118697,125.35430971724905,-0.01611790806055069,0.0,0.285714285,0.714285714,0.2,0.0,0.0,0.28571429,0.28571429,0.42857143,20.0,34.0,54.0,0.07407407,25,25,2025,Brett Baty,NYM (AAA),25.0,NYM,AAA,26123,sa3010869
